ETA;SESSO;REGIONE DI NASCITA;RESIDENTI
54;M;Sicilia                     ;589
55;M;Sicilia                     ;547
56;M;Sicilia                     ;565
57;M;Sicilia                     ;568
58;M;Sicilia                     ;568
59;M;Sicilia                     ;538
60;M;Sicilia                     ;571
61;M;Sicilia                     ;581
62;M;Sicilia                     ;599
63;M;Sicilia                     ;640
64;M;Sicilia                     ;664
65;M;Sicilia                     ;572
66;M;Sicilia                     ;484
67;M;Sicilia                     ;484
68;M;Sicilia                     ;468
69;M;Sicilia                     ;447
70;M;Sicilia                     ;479
71;M;Sicilia                     ;587
72;M;Sicilia                     ;494
73;M;Sicilia                     ;505
74;M;Sicilia                     ;428
75;M;Sicilia                     ;419
76;M;Sicilia                     ;407
77;M;Sicilia                     ;418
78;M;Sicilia                     ;370
79;M;Sicilia                     ;320
80;M;Sicilia                     ;313
81;M;Sicilia                     ;309
82;M;Sicilia                     ;245
83;M;Sicilia                     ;179
84;M;Sicilia                     ;180
85;M;Sicilia                     ;164
86;M;Sicilia                     ;115
87;M;Sicilia                     ;100
88;M;Sicilia                     ;107
89;M;Sicilia                     ;73
90;M;Sicilia                     ;58
91;M;Sicilia                     ;39
92;M;Sicilia                     ;31
93;M;Sicilia                     ;16
94;M;Sicilia                     ;16
95;M;Sicilia                     ;11
96;M;Sicilia                     ;5
97;M;Sicilia                     ;4
98;M;Sicilia                     ;2
102;M;Sicilia                     ;1
0;F;Sardegna                    ;3
1;F;Sardegna                    ;2
2;F;Sardegna                    ;2
3;F;Sardegna                    ;6
4;F;Sardegna                    ;4
6;F;Sardegna                    ;4
8;F;Sardegna                    ;1
9;F;Sardegna                    ;2
10;F;Sardegna                    ;1
11;F;Sardegna                    ;3
12;F;Sardegna                    ;3
13;F;Sardegna                    ;4
14;F;Sardegna                    ;4
15;F;Sardegna                    ;3
16;F;Sardegna                    ;5
17;F;Sardegna                    ;3
18;F;Sardegna                    ;6
19;F;Sardegna                    ;6
20;F;Sardegna                    ;4
21;F;Sardegna                    ;4
22;F;Sardegna                    ;6
23;F;Sardegna                    ;12
24;F;Sardegna                    ;10
25;F;Sardegna                    ;11
26;F;Sardegna                    ;18
27;F;Sardegna                    ;18
28;F;Sardegna                    ;16
29;F;Sardegna                    ;32
30;F;Sardegna                    ;29
31;F;Sardegna                    ;26
32;F;Sardegna                    ;22
33;F;Sardegna                    ;35
34;F;Sardegna                    ;33
35;F;Sardegna                    ;33
36;F;Sardegna                    ;41
37;F;Sardegna                    ;37
38;F;Sardegna                    ;52
39;F;Sardegna                    ;39
40;F;Sardegna                    ;51
41;F;Sardegna                    ;43
42;F;Sardegna                    ;45
43;F;Sardegna                    ;48
44;F;Sardegna                    ;48
45;F;Sardegna                    ;59
46;F;Sardegna                    ;65
47;F;Sardegna                    ;77
48;F;Sardegna                    ;74
49;F;Sardegna                    ;77
50;F;Sardegna                    ;92
51;F;Sardegna                    ;122
52;F;Sardegna                    ;108
53;F;Sardegna                    ;129
54;F;Sardegna                    ;126
55;F;Sardegna                    ;128
56;F;Sardegna                    ;120
57;F;Sardegna                    ;163
58;F;Sardegna                    ;147
59;F;Sardegna                    ;177
60;F;Sardegna                    ;164
61;F;Sardegna                    ;178
62;F;Sardegna                    ;165
63;F;Sardegna                    ;168
64;F;Sardegna                    ;168
65;F;Sardegna                    ;152
66;F;Sardegna                    ;142
67;F;Sardegna                    ;158
68;F;Sardegna                    ;172
69;F;Sardegna                    ;155
70;F;Sardegna                    ;145
71;F;Sardegna                    ;155
72;F;Sardegna                    ;138
73;F;Sardegna                    ;113
74;F;Sardegna                    ;104
75;F;Sardegna                    ;123
76;F;Sardegna                    ;83
77;F;Sardegna                    ;93
78;F;Sardegna                    ;86
79;F;Sardegna                    ;72
80;F;Sardegna                    ;81
81;F;Sardegna                    ;58
82;F;Sardegna                    ;40
83;F;Sardegna                    ;49
84;F;Sardegna                    ;43
85;F;Sardegna                    ;38
86;F;Sardegna                    ;33
87;F;Sardegna                    ;34
88;F;Sardegna                    ;26
89;F;Sardegna                    ;22
90;F;Sardegna                    ;19
91;F;Sardegna                    ;16
92;F;Sardegna                    ;9
93;F;Sardegna                    ;11
94;F;Sardegna                    ;8
95;F;Sardegna                    ;5
96;F;Sardegna                    ;1
97;F;Sardegna                    ;3
98;F;Sardegna                    ;2
99;F;Sardegna                    ;1
100;F;Sardegna                    ;1
101;F;Sardegna                    ;1
0;M;Sardegna                    ;2
1;M;Sardegna                    ;2
2;M;Sardegna                    ;3
3;M;Sardegna                    ;1
4;M;Sardegna                    ;1
5;M;Sardegna                    ;2
6;M;Sardegna                    ;2
7;M;Sardegna                    ;1
8;M;Sardegna                    ;2
9;M;Sardegna                    ;1
10;M;Sardegna                    ;3
11;M;Sardegna                    ;3
12;M;Sardegna                    ;4
13;M;Sardegna                    ;1
14;M;Sardegna                    ;4
15;M;Sardegna                    ;4
16;M;Sardegna                    ;3
17;M;Sardegna                    ;6
18;M;Sardegna                    ;6
19;M;Sardegna                    ;2
20;M;Sardegna                    ;10
21;M;Sardegna                    ;7
22;M;Sardegna                    ;10
23;M;Sardegna                    ;9
24;M;Sardegna                    ;9
25;M;Sardegna                    ;14
26;M;Sardegna                    ;13
27;M;Sardegna                    ;19
28;M;Sardegna                    ;28
29;M;Sardegna                    ;24
30;M;Sardegna                    ;30
31;M;Sardegna                    ;20
32;M;Sardegna                    ;38
33;M;Sardegna                    ;32
34;M;Sardegna                    ;39
35;M;Sardegna                    ;38
36;M;Sardegna                    ;39
37;M;Sardegna                    ;50
38;M;Sardegna                    ;50
39;M;Sardegna                    ;50
40;M;Sardegna                    ;56
41;M;Sardegna                    ;54
42;M;Sardegna                    ;43
43;M;Sardegna                    ;53
44;M;Sardegna                    ;56
45;M;Sardegna                    ;77
46;M;Sardegna                    ;64
47;M;Sardegna                    ;62
48;M;Sardegna                    ;65
49;M;Sardegna                    ;73
50;M;Sardegna                    ;108
51;M;Sardegna                    ;95
52;M;Sardegna                    ;110
53;M;Sardegna                    ;91
54;M;Sardegna                    ;119
55;M;Sardegna                    ;129
56;M;Sardegna                    ;132
57;M;Sardegna                    ;123
58;M;Sardegna                    ;136
59;M;Sardegna                    ;133
60;M;Sardegna                    ;126
61;M;Sardegna                    ;121
62;M;Sardegna                    ;156
63;M;Sardegna                    ;151
64;M;Sardegna                    ;134
65;M;Sardegna                    ;162
66;M;Sardegna                    ;151
67;M;Sardegna                    ;122
68;M;Sardegna                    ;115
69;M;Sardegna                    ;129
70;M;Sardegna                    ;136
71;M;Sardegna                    ;137
72;M;Sardegna                    ;132
73;M;Sardegna                    ;116
74;M;Sardegna                    ;98
75;M;Sardegna                    ;90
76;M;Sardegna                    ;86
77;M;Sardegna                    ;69
78;M;Sardegna                    ;75
79;M;Sardegna                    ;44
80;M;Sardegna                    ;37
81;M;Sardegna                    ;48
82;M;Sardegna                    ;49
83;M;Sardegna                    ;32
84;M;Sardegna                    ;33
85;M;Sardegna                    ;21
86;M;Sardegna                    ;21
87;M;Sardegna                    ;16
88;M;Sardegna                    ;13
89;M;Sardegna                    ;8
90;M;Sardegna                    ;6
91;M;Sardegna                    ;8
92;M;Sardegna                    ;2
93;M;Sardegna                    ;4
94;M;Sardegna                    ;1
98;M;Sardegna                    ;2
105;M;Sardegna                    ;1
